size,ratio,attempt_id,accepted,reason
20,0.3,0,1,valid_sample
20,0.3,1,1,valid_sample
20,0.3,2,1,valid_sample
20,0.3,3,1,valid_sample
20,0.3,4,1,valid_sample
20,0.3,5,1,valid_sample
20,0.3,6,1,valid_sample
20,0.3,7,1,valid_sample
20,0.3,8,1,valid_sample
20,0.3,9,1,valid_sample
20,0.3,10,1,valid_sample
20,0.3,11,1,valid_sample
20,0.3,12,1,valid_sample
20,0.3,13,1,valid_sample
20,0.3,14,1,valid_sample
20,0.3,15,1,valid_sample
20,0.3,16,1,valid_sample
20,0.3,17,1,valid_sample
20,0.3,18,1,valid_sample
20,0.3,19,1,valid_sample
20,0.3,20,1,valid_sample
20,0.3,21,1,valid_sample
20,0.3,22,1,valid_sample
20,0.3,23,1,valid_sample
20,0.3,24,1,valid_sample
20,0.3,25,1,valid_sample
20,0.3,26,1,valid_sample
20,0.3,27,1,valid_sample
20,0.3,28,1,valid_sample
20,0.3,29,1,valid_sample
20,0.7,0,1,valid_sample
20,0.7,1,1,valid_sample
20,0.7,2,1,valid_sample
20,0.7,3,1,valid_sample
20,0.7,4,1,valid_sample
20,0.7,5,1,valid_sample
20,0.7,6,1,valid_sample
20,0.7,7,1,valid_sample
20,0.7,8,1,valid_sample
20,0.7,9,1,valid_sample
20,0.7,10,1,valid_sample
20,0.7,11,1,valid_sample
20,0.7,12,1,valid_sample
20,0.7,13,1,valid_sample
20,0.7,14,1,valid_sample
20,0.7,15,1,valid_sample
20,0.7,16,1,valid_sample
20,0.7,17,1,valid_sample
20,0.7,18,1,valid_sample
20,0.7,19,1,valid_sample
20,0.7,20,1,valid_sample
20,0.7,21,1,valid_sample
20,0.7,22,1,valid_sample
20,0.7,23,1,valid_sample
20,0.7,24,1,valid_sample
20,0.7,25,1,valid_sample
20,0.7,26,1,valid_sample
20,0.7,27,1,valid_sample
20,0.7,28,1,valid_sample
20,0.7,29,1,valid_sample
40,0.3,0,1,valid_sample
40,0.3,1,1,valid_sample
40,0.3,2,1,valid_sample
40,0.3,3,1,valid_sample
40,0.3,4,1,valid_sample
40,0.3,5,1,valid_sample
40,0.3,6,1,valid_sample
40,0.3,7,1,valid_sample
40,0.3,8,1,valid_sample
40,0.3,9,1,valid_sample
40,0.3,10,1,valid_sample
40,0.3,11,1,valid_sample
40,0.3,12,1,valid_sample
40,0.3,13,1,valid_sample
40,0.3,14,1,valid_sample
40,0.3,15,1,valid_sample
40,0.3,16,1,valid_sample
40,0.3,17,1,valid_sample
40,0.3,18,1,valid_sample
40,0.3,19,1,valid_sample
40,0.3,20,1,valid_sample
40,0.3,21,1,valid_sample
40,0.3,22,1,valid_sample
40,0.3,23,1,valid_sample
40,0.3,24,1,valid_sample
40,0.3,25,1,valid_sample
40,0.3,26,1,valid_sample
40,0.3,27,1,valid_sample
40,0.3,28,1,valid_sample
40,0.3,29,1,valid_sample
40,0.7,0,1,valid_sample
40,0.7,1,1,valid_sample
40,0.7,2,1,valid_sample
40,0.7,3,0,no_reachable_start_goal
40,0.7,4,1,valid_sample
40,0.7,5,1,valid_sample
40,0.7,6,1,valid_sample
40,0.7,7,1,valid_sample
40,0.7,8,1,valid_sample
40,0.7,9,1,valid_sample
40,0.7,10,1,valid_sample
40,0.7,11,1,valid_sample
40,0.7,12,1,valid_sample
40,0.7,13,0,no_reachable_start_goal
40,0.7,14,1,valid_sample
40,0.7,15,1,valid_sample
40,0.7,16,1,valid_sample
40,0.7,17,0,no_reachable_start_goal
40,0.7,18,1,valid_sample
40,0.7,19,1,valid_sample
40,0.7,20,0,no_reachable_start_goal
40,0.7,21,1,valid_sample
40,0.7,22,1,valid_sample
40,0.7,23,1,valid_sample
40,0.7,24,1,valid_sample
40,0.7,25,1,valid_sample
40,0.7,26,1,valid_sample
40,0.7,27,1,valid_sample
40,0.7,28,1,valid_sample
40,0.7,29,1,valid_sample
40,0.7,30,1,valid_sample
40,0.7,31,1,valid_sample
40,0.7,32,1,valid_sample
40,0.7,33,1,valid_sample
80,0.3,0,1,valid_sample
80,0.3,1,1,valid_sample
80,0.3,2,1,valid_sample
80,0.3,3,1,valid_sample
80,0.3,4,1,valid_sample
80,0.3,5,1,valid_sample
80,0.3,6,1,valid_sample
80,0.3,7,1,valid_sample
80,0.3,8,1,valid_sample
80,0.3,9,1,valid_sample
80,0.3,10,1,valid_sample
80,0.3,11,1,valid_sample
80,0.3,12,1,valid_sample
80,0.3,13,1,valid_sample
80,0.3,14,1,valid_sample
80,0.3,15,1,valid_sample
80,0.3,16,1,valid_sample
80,0.3,17,1,valid_sample
80,0.3,18,1,valid_sample
80,0.3,19,1,valid_sample
80,0.3,20,1,valid_sample
80,0.3,21,1,valid_sample
80,0.3,22,1,valid_sample
80,0.3,23,1,valid_sample
80,0.3,24,1,valid_sample
80,0.3,25,1,valid_sample
80,0.3,26,1,valid_sample
80,0.3,27,1,valid_sample
80,0.3,28,1,valid_sample
80,0.3,29,1,valid_sample
80,0.7,0,0,no_reachable_start_goal
80,0.7,1,0,no_reachable_start_goal
80,0.7,2,0,no_reachable_start_goal
80,0.7,3,1,valid_sample
80,0.7,4,0,no_reachable_start_goal
80,0.7,5,0,no_reachable_start_goal
80,0.7,6,0,no_reachable_start_goal
80,0.7,7,0,no_reachable_start_goal
80,0.7,8,1,valid_sample
80,0.7,9,1,valid_sample
80,0.7,10,0,no_reachable_start_goal
80,0.7,11,1,valid_sample
80,0.7,12,1,valid_sample
80,0.7,13,0,no_reachable_start_goal
80,0.7,14,1,valid_sample
80,0.7,15,1,valid_sample
80,0.7,16,1,valid_sample
80,0.7,17,0,no_reachable_start_goal
80,0.7,18,1,valid_sample
80,0.7,19,1,valid_sample
80,0.7,20,0,no_reachable_start_goal
80,0.7,21,1,valid_sample
80,0.7,22,0,no_reachable_start_goal
80,0.7,23,1,valid_sample
80,0.7,24,1,valid_sample
80,0.7,25,1,valid_sample
80,0.7,26,1,valid_sample
80,0.7,27,1,valid_sample
80,0.7,28,1,valid_sample
80,0.7,29,0,no_reachable_start_goal
80,0.7,30,1,valid_sample
80,0.7,31,1,valid_sample
80,0.7,32,1,valid_sample
80,0.7,33,1,valid_sample
80,0.7,34,1,valid_sample
80,0.7,35,0,no_reachable_start_goal
80,0.7,36,1,valid_sample
80,0.7,37,1,valid_sample
80,0.7,38,1,valid_sample
80,0.7,39,1,valid_sample
80,0.7,40,0,no_reachable_start_goal
80,0.7,41,1,valid_sample
80,0.7,42,1,valid_sample
80,0.7,43,0,no_reachable_start_goal
80,0.7,44,1,valid_sample
80,0.7,45,1,valid_sample
100,0.3,0,1,valid_sample
100,0.3,1,1,valid_sample
100,0.3,2,1,valid_sample
100,0.3,3,1,valid_sample
100,0.3,4,1,valid_sample
100,0.3,5,1,valid_sample
100,0.3,6,1,valid_sample
100,0.3,7,1,valid_sample
100,0.3,8,1,valid_sample
100,0.3,9,1,valid_sample
100,0.3,10,1,valid_sample
100,0.3,11,1,valid_sample
100,0.3,12,1,valid_sample
100,0.3,13,1,valid_sample
100,0.3,14,1,valid_sample
100,0.3,15,1,valid_sample
100,0.3,16,1,valid_sample
100,0.3,17,1,valid_sample
100,0.3,18,1,valid_sample
100,0.3,19,1,valid_sample
100,0.3,20,1,valid_sample
100,0.3,21,1,valid_sample
100,0.3,22,1,valid_sample
100,0.3,23,1,valid_sample
100,0.3,24,1,valid_sample
100,0.3,25,1,valid_sample
100,0.3,26,1,valid_sample
100,0.3,27,1,valid_sample
100,0.3,28,1,valid_sample
100,0.3,29,1,valid_sample
100,0.7,0,1,valid_sample
100,0.7,1,0,no_reachable_start_goal
100,0.7,2,0,no_reachable_start_goal
100,0.7,3,0,no_reachable_start_goal
100,0.7,4,1,valid_sample
100,0.7,5,0,no_reachable_start_goal
100,0.7,6,1,valid_sample
100,0.7,7,1,valid_sample
100,0.7,8,1,valid_sample
100,0.7,9,1,valid_sample
100,0.7,10,0,no_reachable_start_goal
100,0.7,11,1,valid_sample
100,0.7,12,0,no_reachable_start_goal
100,0.7,13,0,no_reachable_start_goal
100,0.7,14,0,no_reachable_start_goal
100,0.7,15,0,no_reachable_start_goal
100,0.7,16,1,valid_sample
100,0.7,17,1,valid_sample
100,0.7,18,0,no_reachable_start_goal
100,0.7,19,0,no_reachable_start_goal
100,0.7,20,0,no_reachable_start_goal
100,0.7,21,1,valid_sample
100,0.7,22,0,no_reachable_start_goal
100,0.7,23,0,no_reachable_start_goal
100,0.7,24,1,valid_sample
100,0.7,25,1,valid_sample
100,0.7,26,0,no_reachable_start_goal
100,0.7,27,1,valid_sample
100,0.7,28,1,valid_sample
100,0.7,29,0,no_reachable_start_goal
100,0.7,30,1,valid_sample
100,0.7,31,1,valid_sample
100,0.7,32,0,no_reachable_start_goal
100,0.7,33,0,no_reachable_start_goal
100,0.7,34,0,no_reachable_start_goal
100,0.7,35,1,valid_sample
100,0.7,36,0,no_reachable_start_goal
100,0.7,37,1,valid_sample
100,0.7,38,1,valid_sample
100,0.7,39,1,valid_sample
100,0.7,40,0,no_reachable_start_goal
100,0.7,41,0,no_reachable_start_goal
100,0.7,42,1,valid_sample
100,0.7,43,1,valid_sample
100,0.7,44,1,valid_sample
100,0.7,45,0,no_reachable_start_goal
100,0.7,46,0,no_reachable_start_goal
100,0.7,47,0,no_reachable_start_goal
100,0.7,48,0,no_reachable_start_goal
100,0.7,49,0,no_reachable_start_goal
100,0.7,50,0,no_reachable_start_goal
100,0.7,51,1,valid_sample
100,0.7,52,1,valid_sample
100,0.7,53,0,no_reachable_start_goal
100,0.7,54,1,valid_sample
100,0.7,55,0,no_reachable_start_goal
100,0.7,56,0,no_reachable_start_goal
100,0.7,57,0,no_reachable_start_goal
100,0.7,58,1,valid_sample
100,0.7,59,0,no_reachable_start_goal
100,0.7,60,0,no_reachable_start_goal
100,0.7,61,0,no_reachable_start_goal
100,0.7,62,1,valid_sample
100,0.7,63,1,valid_sample
100,0.7,64,0,no_reachable_start_goal
100,0.7,65,0,no_reachable_start_goal
100,0.7,66,1,valid_sample
